Taste of the Mediterranean,,
Baked Feta,"olive oil drizzle, basil salad",first course
Rosemary Roasted Almonds,,first course
Chef's Greek Salad,"oven dried tomatoes, marinated cucumbers, pickled onions, mint, olives",first course
Cioppino,"clams, tomato, fennel, herbs, toasted bread, aioli",second course
Spiced Chicken Thighs,"house tzatziki, pickles, whole grain mustard",third course
Oven Roasted Eggplant,"balsamic reduction, pine nuts",third course
Farroto,"lemon confit, oregano, shaved kasseri",third course
Honey Soaked Polenta Cake,"house spice, whipped ricotta, pomegranate",sweet 
Elegant Summer Evening,,
Scallop Crudo,"pink salt, fresh roe",amuse
Seared Foie Gras,"green apple, pickled cherries, buttered toast",starter
Fresh Summer Greens,"fine herbs, shallots, charred lemon vinaigrette",salad
Roasted Octopus,"blistered tomatoes, charred scallion, puffed grains",app
Hand Cut Noodles,"truffle, mushrooms, parm",pasta
Seasonal Fish & Fennel,"roasted fennel, fennel pollen, fennel cream, pickled fennel, fennel frond",fish
"Duck ""3 Ways""","roasted, braised, & smoked with seasonal accoutrements",main
Chocolate Pout du Crème,,sweet
3 Course Dinner Menu,,
Warm Bread,"greek olive oil, black pepper, sea salt",salad & apps
Roasted Beets & Burrata,"fresh radish, pickled orange segments, balsamic glaze",salad & apps
Caramelized Onion & Goat Cheese Terrine,cornichons & house mustard,salad & apps
Herb Roasted Hen,rich pan jus,main course
Honey Glazed Carrots,"fresh carrot greens, carrot juice reduction",main course
Roasted Brussels,"lemon, chili flake, olive oil",main course
Southern-Style Cheesy Grits,"pickled garlic, cheddar & chives",main course
Chocolate Pot du Creme,macerated strawberries & fresh mint,dessert
Classic Hearty Brunch,,
Seasonal Fruit Platter,,Fresh
Yogurt & House Granola,"toasted nuts, house jam, spiced honey",Fresh
Smoked Salmon Spread,"capers, red onion, everything crackers",Fresh
Freshly Squeezed Fruit Juices,,Fresh
Made to Order Eggs & Omelettes,seasonal vegetables & cheeses,Hearty
Crispy Breakfast Potatoes,"garlic, fresh herbs, “hot sauce”",Hearty
Roasted Sausage & Bacon,,Hearty
Southern Buttermilk Biscuits,"chives, whipped butter, sausage gravy",Hearty
Apple Cinnamon Scones,,Sweet
Brioche Bread Pudding,"vanilla custard, maple, fall spices",Sweet
Classic French Inspired,,
Classic Beef Tartare,"caper aioli, egg yolk, parmesan crisp",1st
Roasted Vegetable Ratatouille,"zucchini squash, eggplant, tomato pepper sauce, basil",2nd
Risotto,"pecorino, fresh cracked pepper, fines herbs",2nd
Seared Salmon,hollandaise,3rd
Duck a l’Orange,"crispy skin, confit of leg",3rd
Roasted Beets,"pickled stem, beet green chiffonade",3rd
Classic Creme Brulee,"torched sugar, raspberry, basil",To Finish
Desserts List,,
Cookies by the Dozen,Chocolate Chip | Chocolate Walnut | Oatmeal Raisin | Sugar | By the Dozen,Blank
Cookie Sandwiches,Filled with Rich Buttercream,Blank
Brownies,Gluten Free | Can be made with or without nuts,Blank
Chocolate Fudge,Milk Chocolate | Dark Chocolate | White Chocolate | By the Pound,Blank
Cupcakes,Assorted Flavors | By the Dozen,Blank
Tour of Asia,,
Vegetarian Dumpling,"sesame, soy mae ploy dressing, ringed chive",Appetizer
Togarashi Seared Tuna,"lime kewpie drizzle, kelp noodle, wakame, sesame",Salad
Tom Kha,"basil/coconut, chili threads, shiitake seasonal vegetables",Soup
48 hr Braised Basil/Ginger Short Ribs,"brussel sprout miso puree, cauliflower rice, bourbon butter sweet potato cake",Main
Raspberry/Cinnamon Cheesecake,"blackberry crumble, strawberry key lime/mint drizzle",Sweet
American Steakhouse,,
Freshly Baked Bread,pickled garlic & olive oil,For the Table
Puree of Carrot,"bacon almond crumble, chive, creme fraîche",Soup & Salad
Classic Cobb,"blue cheese, egg, tomato, green onion, creamy “ranch”",Soup & Salad
Pan Fried Crab Cake,"fresh spring greens, lemon, brown butter",Apps
Fresh Egg Noodles,"tomato, basil, black peppercorn, parmesan",Apps
Bacon Wrapped Filet,"salt n’ vinegar gremolata, roasted pepper, bacon emulsion",Main
Roasted Broccoli,"olive oil, house spice, citrus",Main
Grapefruit & Buttermilk Panna Cotta,"citrus mint salad, almond cookie",Sweet
Thai Cooking Class,,
